Country;Percentage
Afghanistan;2.00%
Albania;44.70%
Algeria;19.30%
Andorra;40.50%
Angola;81.60%
Antigua and Barbuda;47.20%
Argentina;32.50%
Armenia;40.30%
Australia;45.30%
Austria;42.50%
Azerbaijan;36.90%
Bahamas;43.50%
Bahrain;29.50%
Bangladesh;36.80%
Barbados;46.90%
Belarus;34.10%
Belgium;42.10%
Belize;47.30%
Benin;37.30%
Bhutan;37.80%
Bolivia;46.50%
Bosnia and Herzegovina;41.80%
Botswana;59.40%
Brazil;48.10%
Brunei;30.60%
Bulgaria;50.60%
Burkina Faso;46.30%
Burundi;52.60%
Cambodia;37.30%
Cameroon;47.40%
Canada;32.90%
Cape Verde;41.90%
Central African Republic;77.30%
Chad;34.80%
Chile;32.00%
China;40.70%
Colombia;39.90%
Comoros;6.70%
Congo;82.60%
Cook Islands;81.00%
Costa Rica;38.00%
Cote d'Ivoire;46.60%
Croatia;46.30%
Cuba;43.40%
Cyprus;40.80%
Czechia;55.90%
Democratic Republic of Congo;77.10%
Denmark;40.00%
Djibouti;40.80%
Dominica;47.10%
Dominican Republic;46.10%
Ecuador;45.80%
Egypt;18.50%
El Salvador;34.80%
Equatorial Guinea;88.10%
Eritrea;42.90%
Estonia;57.40%
Eswatini;60.00%
Ethiopia;45.20%
Fiji;62.40%
Finland;39.00%
France;41.50%
Gabon;86.20%
Gambia;38.10%
Georgia;47.00%
Germany;43.10%
Ghana;36.20%
Greece;36.10%
Grenada;50.80%
Guatemala;35.00%
Guinea;33.40%
Guinea-Bissau;39.50%
Guyana;45.70%
Haiti;44.10%
Honduras;37.30%
Hungary;50.30%
Iceland;39.20%
India;44.40%
Indonesia;28.60%
Iran;4.10%
Iraq;20.10%
Ireland;46.50%
Israel;31.10%
Italy;32.60%
Jamaica;40.80%
Japan;40.00%
Jordan;19.80%
Kazakhstan;49.20%
Kenya;46.00%
Kiribati;57.90%
Kuwait;4.10%
Kyrgyzstan;44.40%
Laos;43.80%
Latvia;59.00%
Lebanon;20.20%
Lesotho;50.80%
Liberia;41.30%
Libya;2.10%
Lithuania;62.30%
Luxembourg;52.70%
Madagascar;43.50%
Malawi;46.60%
Malaysia;31.20%
Maldives;4.60%
Mali;34.30%
Malta;34.70%
Mauritania;4.30%
Mauritius;32.40%
Mexico;42.50%
Micronesia (country);62.40%
Moldova;40.90%
Mongolia;48.70%
Montenegro;45.20%
Morocco;17.70%
Mozambique;43.70%
Myanmar;33.40%
Namibia;59.70%
Nauru;68.40%
Nepal;36.70%
Netherlands;38.10%
New Zealand;42.90%
Nicaragua;38.70%
Niger;32.20%
Nigeria;55.00%
Niue;72.70%
North Korea;33.50%
North Macedonia;45.80%
Norway;40.50%
Oman;28.60%
Pakistan;5.30%
Panama;44.50%
Papua New Guinea;60.70%
Paraguay;48.20%
Peru;49.50%
Philippines;38.00%
Poland;51.60%
Portugal;38.40%
Qatar;50.70%
Romania;51.70%
Russia;60.60%
Rwanda;54.60%
Saint Kitts and Nevis;51.10%
Saint Lucia;49.70%
Saint Vincent and the Grenadines;48.40%
Samoa;62.20%
Sao Tome and Principe;43.60%
Saudi Arabia;2.90%
Senegal;32.90%
Serbia;48.40%
Seychelles;46.80%
Sierra Leone;41.40%
Singapore;42.90%
Slovakia;52.30%
Slovenia;52.60%
Solomon Islands;60.30%
Somalia;6.20%
South Africa;59.00%
South Korea;47.70%
Spain;37.30%
Sri Lanka;31.70%
Sudan;18.10%
Suriname;44.40%
Sweden;38.30%
Switzerland;43.90%
Syria;2.00%
Tajikistan;40.60%
Tanzania;55.80%
Thailand;38.40%
Timor;30.30%
Togo;36.90%
Tonga;59.80%
Trinidad and Tobago;50.70%
Tunisia;21.10%
Turkey;21.70%
Turkmenistan;45.80%
Tuvalu;61.10%
Uganda;56.90%
Ukraine;28.30%
United Arab Emirates;39.00%
United Kingdom;40.60%
United States;36.40%
Uruguay;32.90%
Uzbekistan;39.10%
Vanuatu;59.50%
Venezuela;39.50%
Vietnam;39.30%
Yemen;1.90%
Zambia;49.30%
Zimbabwe;50.60%
